dataset,budget_ms,seed,method,certificate,eb-nocorrection,point-estimate,posthoc-oracle,realized,ndcg10
pooled,80.0,47,Static-ColBERTv2,,0.5472221980540922,0.5124542951641226,0.8752387014640356,0.8752387014640356,0.6324639371003119
pooled,80.0,47,Static-E5,,0.016868193765897394,0.0,0.0011113580795732384,0.0011113580795732384,0.4144105309794564
pooled,80.0,53,CWC,0.04187808366484197,0.019626505299722225,0.0009236719087342065,0.0010327022375215145,0.0010327022375215145,0.4246272701649441
pooled,80.0,53,StaticBest-cal,,0.05508951175961198,0.022281356156447246,0.06441297396071266,0.06441297396071266,0.5944693351916325
pooled,80.0,53,CostGreedy-cal,,0.05508951175961198,0.022281356156447246,0.06441297396071266,0.06441297396071266,0.5944693351916325
pooled,80.0,53,Static-Qwen3,,0.05508951175961198,0.022281356156447246,0.06441297396071266,0.06441297396071266,0.5944693351916325
pooled,80.0,53,Static-SPLADE,,0.02214106401175457,0.0015585950440905423,0.002055733211512106,0.002055733211512106,0.546974922667482
pooled,80.0,53,Static-ColBERTv2,,0.5470046864813722,0.5118015344995783,0.877625875291764,0.877625875291764,0.6250992667040866
pooled,80.0,53,Static-E5,,0.019626505299722225,0.0009236719087342065,0.0011420740063956144,0.0011420740063956144,0.40717860801108785
pooled,120.0,13,CWC,0.049155244021228964,0.020031695888927413,0.001303154946097578,0.005076142131979695,0.005076142131979695,0.5218225962531693
pooled,120.0,13,StaticBest-cal,,0.031386349956181905,0.008470507149634257,0.01607062019013128,0.01607062019013128,0.5975546649437862
pooled,120.0,13,CostGreedy-cal,,0.04514192168548601,0.01889574671841488,0.023087369850611137,0.023087369850611137,0.5975546649437862
pooled,120.0,13,Static-Qwen3,,0.031386349956181905,0.008470507149634257,0.01607062019013128,0.01607062019013128,0.5975546649437862
pooled,120.0,13,Static-SPLADE,,0.016001945038386478,0.0,0.00022634676324128565,0.00022634676324128565,0.5496473642904863
pooled,120.0,13,Static-ColBERTv2,,0.48435162317051195,0.45397807758511477,0.7604438642297651,0.7604438642297651,0.6250833723695731
pooled,120.0,13,Static-E5,,0.016001945038386478,0.0,0.0,0.0,0.40990248148065617
pooled,120.0,17,CWC,0.04803901993069923,0.019834340789999683,0.0013347387195630446,0.005025125628140704,0.005025125628140704,0.5245913357943183
pooled,120.0,17,StaticBest-cal,,0.029019235257469266,0.0055374811035670095,0.01535335290133213,0.01535335290133213,0.6027899010537734
pooled,120.0,17,CostGreedy-cal,,0.04123435475750928,0.014213282780726796,0.022352675547527658,0.022352675547527658,0.6027899010537734
pooled,120.0,17,Static-Qwen3,,0.029019235257469266,0.0055374811035670095,0.01535335290133213,0.01535335290133213,0.6027899010537734
pooled,120.0,17,Static-SPLADE,,0.015706960505459326,0.0,0.00022578460149017836,0.00022578460149017836,0.5518966146469927
pooled,120.0,17,Static-ColBERTv2,,0.4688518615747793,0.438543842198425,0.7695287282117496,0.7695287282117496,0.6243242048096022
pooled,120.0,17,Static-E5,,0.015706960505459326,0.0,0.0,0.0,0.4144568536298275
pooled,120.0,23,CWC,0.03763242286429706,0.016251086497325033,0.0,0.0004488330341113106,0.0004488330341113106,0.5828499309335908
pooled,120.0,23,StaticBest-cal,,0.021598144360652417,0.001974909965699519,0.018402154398563735,0.018402154398563735,0.6033802694559807
pooled,120.0,23,CostGreedy-cal,,0.034520948765674936,0.010532853150397434,0.026481149012567325,0.026481149012567325,0.6033802694559807
pooled,120.0,23,Static-Qwen3,,0.021598144360652417,0.001974909965699519,0.018402154398563735,0.018402154398563735,0.6033802694559807
pooled,120.0,23,Static-SPLADE,,0.016251086497325033,0.0,0.0002244165170556553,0.0002244165170556553,0.5510370778026369
pooled,120.0,23,Static-ColBERTv2,,0.48028373355832754,0.4493888502296537,0.7648202137998056,0.7648202137998056,0.629417372721652
pooled,120.0,23,Static-E5,,0.016251086497325033,0.0,0.0,0.0,0.4111601625104104
pooled,120.0,29,CWC,0.039417851814417745,0.017073593323388217,0.0,0.0006313131313131314,0.0006313131313131314,0.532032117712369
pooled,120.0,29,StaticBest-cal,,0.026656229947107493,0.0045294362068574205,0.016711229946524065,0.016711229946524065,0.6016832613249051
pooled,120.0,29,CostGreedy-cal,,0.04354431262700081,0.016823620196898988,0.023618538324420676,0.023618538324420676,0.6016832613249051
pooled,120.0,29,Static-Qwen3,,0.026656229947107493,0.0045294362068574205,0.016711229946524065,0.016711229946524065,0.6016832613249051
pooled,120.0,29,Static-SPLADE,,0.017073593323388217,0.0,0.0002228163992869875,0.0002228163992869875,0.5499985042858595
pooled,120.0,29,Static-ColBERTv2,,0.49899563394217106,0.46505757526527247,0.75825585123437,0.75825585123437,0.6295495865803189
pooled,120.0,29,Static-E5,,0.017073593323388217,0.0,0.0,0.0,0.41143009898642613
pooled,120.0,31,CWC,0.04009887734969168,0.016507094212868573,0.0,0.006540222367560497,0.006540222367560497,0.5256091888729674
pooled,120.0,31,StaticBest-cal,,0.029821226951478083,0.005445629317545863,0.015360289134854304,0.015360289134854304,0.5989283532071419
pooled,120.0,31,CostGreedy-cal,,0.04813141382699139,0.018866822447543494,0.02145922746781116,0.02145922746781116,0.5989283532071419
pooled,120.0,31,Static-Qwen3,,0.029821226951478083,0.005445629317545863,0.015360289134854304,0.015360289134854304,0.5989283532071419
pooled,120.0,31,Static-SPLADE,,0.016507094212868573,0.0,0.00022588660492432798,0.00022588660492432798,0.549426507394236
pooled,120.0,31,Static-ColBERTv2,,0.4853612723907996,0.45548302158295323,0.7734915924826904,0.7734915924826904,0.6277111532948136
pooled,120.0,31,Static-E5,,0.016507094212868573,0.0,0.0,0.0,0.41180990660839883
pooled,120.0,37,CWC,0.03733329310312766,0.015875271634315357,0.0,0.006402048655569782,0.006402048655569782,0.5243812295459477
pooled,120.0,37,StaticBest-cal,,0.02706778788131713,0.005478758576036347,0.016971862438588656,0.016971862438588656,0.5975638461989632
pooled,120.0,37,CostGreedy-cal,,0.04649554582973699,0.01986049983813176,0.022108083966056274,0.022108083966056274,0.5975638461989632
pooled,120.0,37,Static-Qwen3,,0.02706778788131713,0.005478758576036347,0.016971862438588656,0.016971862438588656,0.5975638461989632
pooled,120.0,37,Static-SPLADE,,0.015875271634315357,0.0,0.00022331397945511388,0.00022331397945511388,0.5475296555310069
