mode,valid,budget_ms,seed,n_cells,n_eval,n_cal,n_sel,rho_mean,R_cert_bound,viol_certified,ndcg_certified,viol_static,ndcg_static,abstain_frac,deploy_signature,cert_upper_bounds_realized
as-released,False,120.0,13,4,1557,514,514,3.330132316706946,0.24465910588878514,0.0,0.6071864045465457,0.047527296082209375,0.6403948127943918,0.5202312138728323,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100,True
union,True,120.0,13,4,1557,514,514,3.330132316706946,0.26967387809493143,0.0,0.6071864045465457,0.047527296082209375,0.6403948127943918,0.5202312138728323,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100,True
selection,True,120.0,13,4,1557,514,514,3.330132316706946,0.24465910588878514,0.0,0.6071864045465457,0.047527296082209375,0.6403948127943918,0.5202312138728323,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100,True
as-released,False,120.0,17,4,1549,518,518,2.740421813412085,0.2612385134651651,0.0,0.5974821235838162,0.04906391220142027,0.6285701501094293,0.5435765009683667,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_pre|external_qwen3_embedding_06b_pre,True
union,True,120.0,17,4,1549,518,518,2.740421813412085,0.2944079169860952,0.0,0.5974821235838162,0.04906391220142027,0.6285701501094293,0.5435765009683667,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_pre|external_qwen3_embedding_06b_pre,True
selection,True,120.0,17,4,1549,518,518,2.740421813412085,0.2612385134651651,0.0,0.5974821235838162,0.04906391220142027,0.6285701501094293,0.5435765009683667,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_pre|external_qwen3_embedding_06b_pre,True
as-released,False,120.0,23,4,1585,500,500,3.006778661492539,0.26682598222154597,0.0,0.6051081661576163,0.04794952681388013,0.6368129297149656,0.5154574132492113,external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_post|rerank_depth_100|external_qwen3_embedding_06b_pre,True
union,True,120.0,23,4,1585,500,500,3.006778661492539,0.28118880702208715,0.0,0.6051081661576163,0.04794952681388013,0.6368129297149656,0.5154574132492113,external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_post|rerank_depth_100|external_qwen3_embedding_06b_pre,True
selection,True,120.0,23,4,1585,500,500,3.006778661492539,0.26682598222154597,0.0,0.6051081661576163,0.04794952681388013,0.6368129297149656,0.5154574132492113,external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_post|rerank_depth_100|external_qwen3_embedding_06b_pre,True
as-released,False,120.0,29,4,1584,501,500,2.858473358884451,0.26651288712467214,0.0,0.6081470515975594,0.041035353535353536,0.6409832478797257,0.5284090909090909,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
